seed,threshold,macro_f1,balanced_accuracy,specificity,false_positive_rate,regression_rate,correction_accuracy,correction_coverage
13,0.5,0.5163904166588453,0.5946564885496183,0.9969465648854962,0.0030534351145038,0.0,1.0,0.0048346055979643
21,0.5,0.5117345378575906,0.5918575063613232,0.9969465648854962,0.0030534351145038,0.0,0.8947368421052632,0.0048346055979643
42,0.5,0.5151240228314442,0.5938931297709924,0.9969465648854962,0.0030534351145038,0.0,1.0,0.0048346055979643
87,0.5,0.4983198509742146,0.5837576374745418,0.9964358452138492,0.0035641547861507,0.0,0.9375,0.0040733197556008
101,0.5,0.5151240228314442,0.5938931297709924,0.9969465648854962,0.0030534351145038,0.0,1.0,0.0048346055979643
