method,scope,precision,recall,f1,macro_f1,accuracy,specificity,balanced_accuracy,false_positive_rate,confusion_matrix,n,label_counts
tfidf_weighted,overall,0.9728434504792333,0.3099236641221374,0.4700887688151293,0.6047540067267902,0.6506361323155216,0.9913486005089058,0.6506361323155216,0.008651399491094147,"[[1948, 17], [1356, 609]]",3930,"{'0': 1965, '1': 1965}"
tfidf_weighted,medhallu,1.0,0.32281284606866,0.4880703223105902,0.6175615313724616,0.6614064230343301,1.0,0.66140642303433,0.0,"[[1806, 0], [1223, 583]]",3612,"{'0': 1806, '1': 1806}"
tfidf_weighted,truthfulqa,0.6046511627906976,0.16352201257861634,0.25742574257425743,0.45590181137929464,0.5283018867924528,0.8930817610062893,0.5283018867924528,0.1069182389937107,"[[142, 17], [133, 26]]",318,"{'0': 159, '1': 159}"
tfidf_weighted,overall,0.9728434504792333,0.3099236641221374,0.4700887688151293,0.6047540067267902,0.6506361323155216,0.9913486005089058,0.6506361323155216,0.008651399491094147,"[[1948, 17], [1356, 609]]",3930,"{'0': 1965, '1': 1965}"
bm25_weighted,overall,0.9458128078817734,0.09770992366412214,0.17712177121771217,0.43184971203190603,0.546055979643766,0.9944020356234097,0.546055979643766,0.0055979643765903305,"[[1954, 11], [1773, 192]]",3930,"{'0': 1965, '1': 1965}"
